Trait Number,Human Readable Name,Example Panda,Example Panda,Example Panda
2,Sitting,https://pandapandas.s3.us-west-2.amazonaws.com/images/51.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/55.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/59.png
3,"Standing",https://pandapandas.s3.us-west-2.amazonaws.com/images/52.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/54.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/56.png
4,Skipping,https://pandapandas.s3.us-west-2.amazonaws.com/images/53.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/57.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/60.png
